Date,Time,Open,High,Low,Close,Vol,OI
11/30/2016,16:00,2193.5,2204,2187.5,2189,1960189,2970185
12/01/2016,16:00,2189.75,2193.25,2176.25,2182.25,2148721,2958961
12/02/2016,16:00,2180.75,2187.5,2174.5,2182.25,1682042,2925447
12/05/2016,16:00,2174.25,2199,2169.25,2194.5,1663731,2923523
12/06/2016,16:00,2195.25,2202.25,2190.5,2200.25,1483946,2883375
12/07/2016,16:00,2201.5,2231.5,2197,2227,2328449,2747403
12/08/2016,16:00,2226.75,2241.5,2223.25,2238,803345,686875
12/09/2016,16:00,2237,2251.25,2235.25,2250.25,1609142,1154579
12/12/2016,16:00,2250.75,2260.25,2242.25,2246,1973091,1706174
12/13/2016,16:00,2245.75,2268.5,2243.25,2263.25,2325023,2245145
12/14/2016,16:00,2263.5,2268,2238.5,2247.5,2267763,2592645
12/15/2016,16:00,2247.25,2263.25,2242.75,2254,1976782,2678369
12/16/2016,16:00,2255,2259.5,2245,2250.75,1415262,2726523
12/19/2016,16:00,2251.5,2259.25,2249.5,2255.5,928690,2732597
12/20/2016,16:00,2255.75,2265,2255.5,2262,814005,2748679
12/21/2016,16:00,2262.75,2263.5,2253.5,2256,667705,2735177
12/22/2016,16:00,2253.75,2256.5,2247,2254.25,847626,2756335
12/23/2016,16:00,2253,2256.5,2249.75,2255.5,396535,2755246
12/27/2016,16:00,2254.25,2265,2253.25,2256.5,498741,2744092
12/28/2016,16:00,2256.75,2263,2239,2240.75,1000606,2758174
12/29/2016,16:00,2241,2245.5,2235,2240.5,913220,2752438
12/30/2016,16:00,2241.75,2248.25,2223.5,2231.75,1281987,2787056
01/03/2017,16:00,2236.25,2255,2235,2248,1810351,2799661
01/04/2017,16:00,2248.25,2262.75,2246.5,2259.75,1404875,2804829
01/05/2017,16:00,2260,2261.5,2249.5,2259.75,1324035,2807328
01/06/2017,16:00,2259.75,2272.5,2253.75,2267,1551007,2815455
01/09/2017,16:00,2266.75,2270.75,2259,2260.5,1025182,2814013
01/10/2017,16:00,2260,2269.5,2255,2259.25,1304523,2813855
01/11/2017,16:00,2259.25,2267.25,2250.5,2266,1733727,2812470
01/12/2017,16:00,2266,2266,2244,2259,1752976,2793398
01/13/2017,16:00,2260,2269,2258.25,2268,1192660,2803386
01/17/2017,16:00,2265.75,2266,2252.75,2257.75,1540220,2791366
01/18/2017,16:00,2257.5,2264,2253.75,2262,1111992,2790421
01/19/2017,16:00,2261,2265,2248.5,2257,1386240,2813697
01/20/2017,16:00,2256.5,2268.25,2255.25,2261.5,1737181,2793940
01/23/2017,16:00,2261.5,2263,2247.25,2257.5,1474482,2821419
01/24/2017,16:00,2256.25,2276,2255,2270,1273116,2847811
01/25/2017,16:00,2271.25,2290.75,2270.25,2289.5,1386477,2855527
01/26/2017,16:00,2289.25,2295,2285,2289.5,1170427,2835457
01/27/2017,16:00,2289.5,2292.25,2282.5,2284.5,942076,2819735
01/30/2017,16:00,2277.5,2281.25,2258.75,2271.5,1850992,2805447
01/31/2017,16:00,2271.25,2273.75,2257.75,2270,1628810,2807756
02/01/2017,16:00,2272.5,2280.5,2263.75,2270,1565006,2829202
02/02/2017,16:00,2270.5,2275.25,2260,2271,1414426,2817455
02/03/2017,16:00,2269.5,2289.5,2266,2286.5,1415043,2831500
02/06/2017,16:00,2288.5,2289.75,2279,2282,1164914,2840033
02/07/2017,16:00,2281.75,2290.5,2279.5,2284,1202059,2855102
02/08/2017,16:00,2281.25,2287.5,2276.5,2285.75,1283261,2882114
02/09/2017,16:00,2286,2303.25,2283.25,2299.75,1354847,2888499
02/10/2017,16:00,2299.75,2311.25,2298.5,2308.25,1177521,2903005
02/13/2017,16:00,2309.75,2324.5,2308.75,2321.75,1210205,2938992
02/14/2017,16:00,2322,2333.25,2315.25,2332.5,1390309,2959085
02/15/2017,16:00,2331,2347,2326.75,2346,1532340,2985535
02/16/2017,16:00,2345.75,2346.25,2332.25,2341,1737007,2986733
02/17/2017,16:00,2340.5,2344.25,2332,2343.5,1399520,2959348
02/21/2017,16:00,2342,2360.5,2341.5,2355.5,1653551,2968353
02/22/2017,16:00,2355.5,2359.25,2350.75,2356.5,1301504,2968035
02/23/2017,16:00,2357.5,2363,2348.5,2358.25,1556359,2980360
02/24/2017,16:00,2357,2361.25,2345,2360.5,1551959,2993230
02/27/2017,16:00,2358.25,2366.25,2356.5,2363.75,1156575,3011470
02/28/2017,16:00,2361.25,2364.25,2353,2358.25,1610710,2997859
03/01/2017,16:00,2360,2396.5,2358.75,2389,2171551,3017456
03/02/2017,16:00,2387.75,2389.75,2373.5,2377.5,1744834,3006952
03/03/2017,16:00,2375.25,2378.75,2369.25,2376.75,1357594,3023373
03/06/2017,16:00,2375.75,2376.25,2362.5,2371,1376883,3013897
03/07/2017,16:00,2366.75,2371,2360,2362,1303962,2984987
03/08/2017,16:00,2361.25,2368.5,2355,2359.5,1651698,2858334
03/09/2017,16:00,2358.75,2364.75,2349.5,2361.75,816870,810266
03/10/2017,16:00,2363,2374.75,2357.5,2367,1865954,1360269
03/13/2017,16:00,2366.25,2370.5,2363.25,2370.25,1612837,2009462
03/14/2017,16:00,2369.25,2370,2353.25,2361.5,2014740,2510965
03/15/2017,16:00,2362,2386.25,2361.5,2379,1775343,2751526
03/16/2017,16:00,2377.75,2387.25,2372,2377.5,1616078,2805086
03/17/2017,16:00,2377.75,2380.75,2371.25,2373.75,1277357,2826536
03/20/2017,16:00,2372.25,2374.5,2364,2368.75,1076099,2840769
03/21/2017,16:00,2367.5,2377.25,2336.5,2340.75,2567939,2863550
03/22/2017,16:00,2339,2347.25,2330.75,2341,1883451,2857290
03/23/2017,16:00,2340.75,2354.5,2336.75,2338.5,1631527,2868912
03/24/2017,16:00,2339.5,2351.25,2330.25,2343.25,1600274,2875174
03/27/2017,16:00,2335.5,2340,2316.25,2337,1614233,2887081
03/28/2017,16:00,2339,2359,2332,2350,1623900,2879278
03/29/2017,16:00,2351.5,2358.25,2347.25,2355.5,1154538,2859571
03/30/2017,16:00,2355.5,2365.25,2351.75,2363,1164616,2840998
03/31/2017,16:00,2364,2365.25,2355.25,2357.75,1568884,2827140
04/03/2017,16:00,2356,2361.75,2338.5,2354.5,1716027,2833401
04/04/2017,16:00,2352.75,2357.25,2343.25,2355,1209054,2845954
04/05/2017,16:00,2357.25,2373.5,2342.25,2345,1938825,2842290
04/06/2017,16:00,2344.25,2359.75,2336.5,2352.25,1595949,2849681
04/07/2017,16:00,2353.75,2359.25,2335.25,2350.75,1473460,2860278
04/10/2017,16:00,2350.25,2361.75,2346,2351,1351301,2853258
04/11/2017,16:00,2352.75,2354.25,2331.75,2349.5,1856700,2874990
04/12/2017,16:00,2350.25,2355,2336,2339.25,1534596,2864722
04/13/2017,16:00,2337.25,2343.5,2322.5,2326,1587079,2891636
04/17/2017,16:00,2322.5,2344.5,2321.25,2343.5,981675,2917728
04/18/2017,16:00,2343.5,2345.5,2328.75,2335.75,1432200,2902156
04/19/2017,16:00,2336.25,2347.75,2329.75,2332.25,1254296,2916069
04/20/2017,16:00,2331.75,2356.75,2331,2350.5,1468523,2931794
04/21/2017,16:00,2351.25,2354.5,2339,2346,1277783,2913388
04/24/2017,16:00,2364.25,2375.25,2363.75,2368.5,1553985,2930783
04/25/2017,16:00,2368.5,2387.75,2366.75,2383.5,1324272,2935704
04/26/2017,16:00,2381.5,2393.25,2380,2380.75,1493096,2938058
04/27/2017,16:00,2380,2387.25,2377.25,2384.5,1115269,2923644
04/28/2017,16:00,2384.75,2387.25,2376.75,2379,1167297,2912638
05/01/2017,16:00,2380,2389.25,2375.5,2385.5,906278,2921914
05/02/2017,16:00,2384.75,2387.25,2380.25,2384.25,958983,2934188
05/03/2017,16:00,2382.5,2384.5,2374,2381.75,1076558,2956726
05/04/2017,16:00,2380.5,2389.25,2374.5,2384,1229736,2968492
05/05/2017,16:00,2384.5,2397.75,2377.5,2396.25,1127621,2962496
05/08/2017,16:00,2401,2402.25,2388.25,2393.5,957161,2993818
05/09/2017,16:00,2393,2398.5,2387.25,2391.75,1105436,3005154
05/10/2017,16:00,2390.25,2395.5,2386,2393.75,998859,3021048
05/11/2017,16:00,2393.5,2393.75,2377.5,2389.5,1356242,3028521
05/12/2017,16:00,2388.75,2390,2382.75,2387.25,1087422,3042372
05/15/2017,16:00,2387.25,2400.75,2386.5,2397,1041264,3014458
05/16/2017,16:00,2398.25,2403,2392.25,2395.5,1071111,3022590
05/17/2017,16:00,2395,2395.25,2353.25,2356,2814349,3043738
05/18/2017,16:00,2353.5,2373.5,2343,2362,2460956,3013981
05/19/2017,16:00,2362.5,2386.5,2359.5,2380,1672971,3053781
05/22/2017,16:00,2380.25,2392.75,2376.75,2391.25,1113022,3021298
05/23/2017,16:00,2392,2398,2385.25,2396.5,1024986,3016724
05/24/2017,16:00,2395.5,2402.5,2393.25,2400.5,984358,3023636
